,V1
1,4.072764414
2,2.778225574
3,4.888600184
4,2.932538263
5,-11.04412753
6,1.949456579
7,1.74896548
8,0.427057467
9,-1.339145876
10,-1.122423936
11,-1.62645341
12,-0.282002499
13,-4.536804482
14,2.271268125
15,-2.349605853
16,0.01666937
17,-1.704955306
18,-1.863822342
19,-1.08797317
20,-0.198633495
21,-1.467452963
22,-0.072676252
23,3.958625351
24,5.11513406
25,1.160044857
26,0.99728856
27,1.639215832
28,-2.657179735
29,1.588076432
30,0.902622695
31,2.795569227
32,0.760616347
33,0.392049644
34,-4.922951118
35,0.133321068
36,0.605164654
37,-0.389345575
38,-1.394834514
39,-0.080092936
40,-1.294847289
41,1.489470419
42,-0.321829101
43,-5.1060748
44,0.60836182
45,2.15695254
46,-3.201677824
47,0.75129668
48,-0.977906116
49,-110.6935849
