ID,pop,Cop_ID,Sex,Age,Copula,Part_ID,Morph,Wing,Thorax,Length,Abdomen,S4,Eggs,Fe_cond,Egg_volume,Clear_eggs,Season,day
9,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
8,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
7,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
6,Staffanstorps,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
5,Staffanstorps,.,0,mature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
4,Staffanstorps,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
39,Alnarp,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
38,Alnarp,.,0,immature,0,.,infuscans,.,.,.,.,.,.,.,.,.,2000,151
37,Alnarp,.,0,mature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
36,Alnarp,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
35,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
34,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
33,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
32,Kallby,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
31,Kallby,.,0,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
30,Kallby,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
3,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
29,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
28,Kallby,.,0,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,151
27,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
26,Kallby,.,0,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
25,Kallby,.,0,immature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
24,Kallby,.,0,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
23,Kolbora,.,0,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
22,Kolbora,.,0,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
21,Kolbora,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
20,Kolbora,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
2,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
19,Kolbora,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
18,Kolbora,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
17,Kolbora,.,0,immature,1,.,.,.,.,.,.,.,.,.,.,.,2000,151
16,Kolbora,.,1,immature,1,.,.,.,.,.,.,.,.,.,.,.,2000,151
15,Kolbora,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
14,Kolbora,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
13,Kolbora,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
12,Kolbora,.,0,mature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
11,Kolbora,.,1,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
10,Staffanstorps,.,0,mature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
1,Staffanstorps,.,0,mature,0,.,androchrome,.,.,.,.,.,.,.,.,.,2000,151
0,Staffanstorps,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,151
88,Gunnesbo,.,0,mature,1,.,androchrome,.,.,.,.,.,.,.,.,.,2000,161
87,Gunnesbo,.,1,immature,0,.,.,.,2.3,.,.,.,.,.,.,.,2000,161
86,Gunnesbo,.,1,mature,1,.,.,.,.,.,.,.,.,.,.,.,2000,161
85,Gunnesbo,.,1,mature,1,.,.,.,.,.,.,.,.,.,.,.,2000,161
84,Gunnesbo,.,0,mature,1,.,.,.,.,.,.,.,.,.,.,.,2000,161
83,Gunnesbo,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,161
82,Gunnesbo,.,1,immature,0,.,.,17.62,2.26,31.78,25.5,.,.,.,.,.,2000,161
81,Gunnesbo,.,1,immature,0,.,.,.,.,.,.,.,.,.,.,.,2000,161
80,Gunnesbo,.,1,.,0,.,.,.,.,.,.,.,.,.,.,.,2000,161
79,Gunnesbo,.,0,immature,0,.,androchrome,20.95,2.57,34.17,26.42,.,.,.,.,.,2000,161
78,Gunnesbo,.,0,immature,0,.,infuscans,20.44,2.5,34.02,26.99,.,.,.,.,.,2000,161
77,Gunnesbo,.,1,mature,1,.,.,18.86,2.36,34.06,26.64,.,.,.,.,.,2000,161
76,Gunnesbo,.,1,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
75,Gunnesbo,.,1,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
74,Gunnesbo,.,1,immature,.,.,.,17.95,2.22,32.02,25.55,.,.,.,.,.,2000,161
73,Gunnesbo,.,1,immature,.,.,.,17.53,2.28,33.29,26.23,.,.,.,.,.,2000,161
72,Gunnesbo,.,1,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
71,Gunnesbo,.,1,mature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
70,Gunnesbo,.,0,mature,.,.,androchrome,20.8,2.36,33.95,26.09,.,.,.,.,.,2000,161
69,Gunnesbo,.,1,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
68,Gunnesbo,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
67,Gunnesbo,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
66,Gunnesbo,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
65,Gunnesbo,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
64,Gunnesbo,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
63,Gunnesbo,.,0,immature,.,.,infuscans,20.64,2.34,32.71,26.25,.,.,.,.,.,2000,161
62,Gunnesbo,.,0,immature,.,.,.,21.2,2.52,33.69,26.87,.,.,.,.,.,2000,161
61,Gunnesbo,.,0,immature,.,.,infuscans,21.07,2.47,33.53,25.98,.,.,.,.,.,2000,161
60,Gunnesbo,.,0,mature,.,.,androchrome,20.47,3.66,33.94,26.54,.,.,.,.,.,2000,161
59,Gunnesbo,.,1,mature,.,.,.,18.25,2.2,34.11,27.6,.,.,.,.,.,2000,161
58,Gunnesbo,.,1,mature,.,.,.,18.5,2.25,34.48,26.78,.,.,.,.,.,2000,161
57,Gunnesbo,.,0,immature,.,.,.,.,2.35,32.82,26.99,.,.,.,.,.,2000,161
56,Gunnesbo,.,0,mature,.,.,.,20.86,2.32,33.21,26.71,.,.,.,.,.,2000,161
55,Gunnesbo,.,1,immature,.,.,.,.,.,.,.,.,.,.,.,.,2000,161
54,Gunnesbo,.,0,mature,.,.,androchrome,19.5,2.27,32.84,26.24,.,.,.,.,.,2000,161
